Dataset,Regularizer,C,PR_AUC_mean,PR_AUC_std
UCI_EEG,L2 (Ridge),78.47599703514607,0.48317399617233486,0.024223793976021073
UCI_EEG,L2 (Ridge),206.913808111479,0.48317920304394135,0.024221785705791817
UCI_EEG,L2 (Ridge),545.5594781168514,0.4831853668011606,0.024218843748811416
UCI_EEG,L2 (Ridge),1438.44988828766,0.48318536558145403,0.02421891592799432
UCI_EEG,L2 (Ridge),3792.690190732246,0.4831861555103689,0.024218169436315717
UCI_EEG,L2 (Ridge),10000.0,0.48318506749149776,0.02421862102831178
UCI_EEG,Elastic Net,0.0001,0.2,0.0
UCI_EEG,Elastic Net,0.00026366508987303583,0.2,0.0
UCI_EEG,Elastic Net,0.0006951927961775605,0.2,0.0
UCI_EEG,Elastic Net,0.0018329807108324356,0.48176682286152106,0.027462774505611433
UCI_EEG,Elastic Net,0.004832930238571752,0.4889108845274908,0.02610964242705062
UCI_EEG,Elastic Net,0.012742749857031334,0.49003860734596233,0.0309339546474327
UCI_EEG,Elastic Net,0.03359818286283781,0.4886593450985431,0.027347464885644792
UCI_EEG,Elastic Net,0.08858667904100823,0.4887872841366637,0.023455818538776586
UCI_EEG,Elastic Net,0.23357214690901212,0.48757308148803435,0.023503334127447484
UCI_EEG,Elastic Net,0.615848211066026,0.4852418819115033,0.024673462376367934
UCI_EEG,Elastic Net,1.623776739188721,0.4840309360408438,0.024453696343479915
UCI_EEG,Elastic Net,4.281332398719396,0.483557034004692,0.0244584968465867
UCI_EEG,Elastic Net,11.288378916846883,0.48340990512906945,0.02444742278802737
UCI_EEG,Elastic Net,29.763514416313132,0.48336189682647046,0.024439735073694818
UCI_EEG,Elastic Net,78.47599703514607,0.4833512452317752,0.02444630199864548
UCI_EEG,Elastic Net,206.913808111479,0.48333889574685446,0.024458286226979244
UCI_EEG,Elastic Net,545.5594781168514,0.4833303863714599,0.024457553781635187
UCI_EEG,Elastic Net,1438.44988828766,0.4833283684479216,0.024461152530528392
UCI_EEG,Elastic Net,3792.690190732246,0.48332722327651734,0.024461277594372423
UCI_EEG,Elastic Net,10000.0,0.483330726414448,0.024459382468340517
BEED,L1 (Lasso),0.0001,0.75,0.0
BEED,L1 (Lasso),0.00026366508987303583,0.75,0.0
BEED,L1 (Lasso),0.0006951927961775605,0.75,0.0
BEED,L1 (Lasso),0.0018329807108324356,0.7356608873080723,0.01462847046758012
BEED,L1 (Lasso),0.004832930238571752,0.7385150572173057,0.012966471537579937
BEED,L1 (Lasso),0.012742749857031334,0.7403534652977377,0.012349033033753095
BEED,L1 (Lasso),0.03359818286283781,0.7493818241019073,0.014799477830918837
BEED,L1 (Lasso),0.08858667904100823,0.759073483286213,0.016239896558692152
BEED,L1 (Lasso),0.23357214690901212,0.7631375094072622,0.016575302815617587
BEED,L1 (Lasso),0.615848211066026,0.7645860335688586,0.01666449986976198
BEED,L1 (Lasso),1.623776739188721,0.7651364484274418,0.01667486031337498
BEED,L1 (Lasso),4.281332398719396,0.7654278222194792,0.016693131765014746
BEED,L1 (Lasso),11.288378916846883,0.7655343395544867,0.016709681887431698
BEED,L1 (Lasso),29.763514416313132,0.7655621631226743,0.01671034326896781
BEED,L1 (Lasso),78.47599703514607,0.7655791492642401,0.01671133709556404
BEED,L1 (Lasso),206.913808111479,0.7655882900114775,0.016708566472497237
BEED,L1 (Lasso),545.5594781168514,0.7655886642320355,0.0167089602835452
BEED,L1 (Lasso),1438.44988828766,0.7655883810683306,0.016708850273694145
BEED,L1 (Lasso),3792.690190732246,0.7655886178864866,0.016708528307980534
BEED,L1 (Lasso),10000.0,0.7655887571305054,0.0167085083938125
BEED,L2 (Ridge),0.0001,0.7347741952939182,0.012157100850653581
BEED,L2 (Ridge),0.00026366508987303583,0.7372192856123589,0.012627471354664157
BEED,L2 (Ridge),0.0006951927961775605,0.7418706008095077,0.013307087075634643
BEED,L2 (Ridge),0.0018329807108324356,0.7487873833421336,0.014660959412761654
